"values","array"
0.12,"C:"
0.12,"C:"
0.51,"C:"
4.12,"C:"
26.12,"C:"
28.12,"C:"
32.12,"C:"
37.12,"C:"
44.12,"C:"
52.12,"C:"
54.12,"C:"
61.12,"C:"
64.12,"C:"
74.12,"C:"
76.12,"C:"
104.12,"C:"
112.12,"C:"
113.12,"C:"
114.12,"C:"
133.12,"C:"
135.12,"C:"
146.11,"C:"
506.11,"C:"
512.12,"C:"
531.12,"C:"
561.11,"C:"
564.11,"C:"
567.11,"C:"
575.11,"C:"
578.12,"C:"
592.12,"C:"
596.12,"C:"
598.12,"C:"
607.11,"C:"
607.21,"C:"
611.12,"C:"
637.12,"C:"
638.12,"C:"
657.31,"C:"
670.12,"C:"
671.12,"C:"
673.12,"C:"
676.12,"C:"
678.12,"C:"
736.12,"C:"
757.5,"C:"
773.12,"C:"
799.12,"C:"
803.12,"C:"
805.12,"C:"
808.12,"C:"
813.12,"C:"
815.12,"C:"
837.12,"C:"
839.12,"C:"
843.12,"C:"
853.12,"C:"
855.12,"C:"
860.12,"C:"
876.12,"C:"
878.12,"C:"
884.12,"C:"
886.12,"C:"
887.12,"C:"
915.12,"C:"
917.12,"C:"
987.12,"C:"
995.12,"C:"
996.12,"C:"
997.12,"C:"
999.12,"C:"
1001.12,"C:"
1002.12,"C:"
1004.12,"C:"
1006.12,"C:"
1008.12,"C:"
1078.12,"C:"
1117.12,"C:"
1148.12,"C:"
1152.12,"C:"
1174.12,"C:"
1205.1,"C:"
1209.1,"C:"
1213.12,"C:"
1228.1,"C:"
1262.1,"C:"
1272.1,"C:"
1276.1,"C:"
1282.12,"C:"
1313.1,"C:"
1322.1,"C:"
1324.1,"C:"
1327.1,"C:"
1331.12,"C:"
1357.1,"C:"
1362.1,"C:"
1362.2,"C:"
1367.12,"C:"
1394.12,"C:"
1412.3,"C:"
1512.51,"C:"
1646.12,"C:"
1649.12,"C:"
1651.12,"C:"
1668.12,"C:"
1706.12,"C:"
1842.12,"C:"
1926.11,"C:"
1944.12,"C:"
1946.12,"C:"
1950.12,"C:"
1951.12,"C:"
1971.11,"C:"
1975.11,"C:"
2025.11,"C:"
2046.11,"C:"
2062.11,"C:"
2064.11,"C:"
2074.12,"C:"
2090.12,"C:"
2096.11,"C:"
2102.11,"C:"
2105.11,"C:"
2115.12,"C:"
2130.12,"C:"
2141.11,"C:"
2141.21,"C:"
2145.12,"C:"
2169.12,"C:"
2171.12,"C:"
2172.12,"C:"
2190.12,"C:"
2191.31,"C:"
2246.12,"C:"
2265.12,"C:"
2266.12,"C:"
2291.5,"C:"
2327.12,"C:"
2331.12,"C:"
2333.12,"C:"
2344.12,"C:"
2348.12,"C:"
2349.12,"C:"
2350.12,"C:"
2351.12,"C:"
2366.12,"C:"
2368.12,"C:"
2372.12,"C:"
2385.12,"C:"
2387.12,"C:"
2435.12,"C:"
2464.12,"C:"
2478.12,"C:"
2490.1,"C:"
2615.1,"C:"
2621.1,"C:"
2624.1,"C:"
2632.1,"C:"
2637.12,"C:"
2654.1,"C:"
2659.1,"C:"
2662.1,"C:"
2671.1,"C:"
2678.1,"C:"
2684.1,"C:"
2686.1,"C:"
2689.1,"C:"
2699.1,"C:"
2705.1,"C:"
2713.12,"C:"
2763.1,"C:"
2772.1,"C:"
2776.1,"C:"
2784.12,"C:"
2791.1,"C:"
2793.1,"C:"
2804.1,"C:"
2811.1,"C:"
2813.1,"C:"
2820.1,"C:"
2830.1,"C:"
2838.12,"C:"
2866.1,"C:"
2875.1,"C:"
2884.1,"C:"
2887.1,"C:"
2900.1,"C:"
2900.2,"C:"
2906.12,"C:"
2950.3,"C:"
2955.12,"C:"
2966.12,"C:"
2968.12,"C:"
2969.12,"C:"
2974.12,"C:"
2989.12,"C:"
3033.12,"C:"
3050.51,"C:"
3089.12,"C:"
3113.12,"C:"
3188.12,"C:"
3190.12,"C:"
3192.12,"C:"
3196.12,"C:"
3198.12,"C:"
3209.12,"C:"
3246.12,"C:"
3247.12,"C:"
3268.12,"C:"
3269.12,"C:"
3271.12,"C:"
3274.12,"C:"
3276.12,"C:"
3278.12,"C:"
3280.12,"C:"
3288.12,"C:"
3335.11,"C:"
3346.11,"C:"
3361.12,"C:"
3374.11,"C:"
3380.11,"C:"
3404.11,"C:"
3416.12,"C:"
3417.12,"C:"
3418.12,"C:"
3419.12,"C:"
3419.12,"C:"
3452.11,"C:"
3458.11,"C:"
3540.11,"C:"
3544.11,"C:"
3545.11,"C:"
3552.11,"C:"
3557.12,"C:"
3580.11,"C:"
3584.11,"C:"
3598.11,"C:"
3614.12,"C:"
3619.12,"C:"
3642.11,"C:"
3647.11,"C:"
3650.11,"C:"
3672.11,"C:"
3672.21,"C:"
3676.12,"C:"
3722.31,"C:"
3738.12,"C:"
3740.12,"C:"
3743.12,"C:"
3760.12,"C:"
3764.12,"C:"
3782.12,"C:"
3812.12,"C:"
3822.54,"C:"
3824.12,"C:"
3864.12,"C:"
3876.12,"C:"
